2012-08-20T11:14:56-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 73429599, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:19:05-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 00314949, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:19:05-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 00314949, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:19:05-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 00314949, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:19:05-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 00314949, ServiceId 13608, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T11:19:05-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 00314949, ServiceId 13608, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T11:19:13-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 02807630, ServiceId 13608, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:21:50-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 86589006, ServiceId 17807, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:21:50-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 86589006, ServiceId 17807, CustomerId 258467, Nachricht: Sofortüberweisung abgelehnt, weil systemweit deaktiviert 
2012-08-20T11:21:50-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 86589006, ServiceId 17807, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T11:21:50-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 86589006, ServiceId 17807, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T11:21:50-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 86589006, ServiceId 17807, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:21:50-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 86589006, ServiceId 17807, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-08-20T11:21:50-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 86589006, ServiceId 17807, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-08-20T11:22:09-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 73379635, ServiceId 17807, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-08-20T11:23:22-03:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 87028875, ServiceId 13767, CustomerId 1345472602, Nachricht: Barzahlung zugestimmt 
